time,wx,wy,wz
1.759,5.40,5.22,-7.16
1.763,5.58,5.21,-7.19
1.764,5.76,5.19,-7.20
1.767,5.93,5.17,-7.23
1.768,6.10,5.15,-7.24
1.770,6.25,5.11,-7.27
1.773,6.40,5.08,-7.30
1.776,6.55,5.03,-7.34
1.783,6.69,4.99,-7.38
1.785,6.82,4.94,-7.44
1.785,6.95,4.90,-7.50
1.786,7.08,4.86,-7.56
1.788,7.19,4.81,-7.63
1.790,7.30,4.77,-7.69
1.793,7.39,4.72,-7.75
1.796,7.49,4.67,-7.80
1.799,7.57,4.63,-7.84
1.800,7.64,4.58,-7.89
1.803,7.70,4.52,-7.90
1.806,7.76,4.45,-7.90
1.808,7.81,4.36,-7.89
1.810,7.86,4.26,-7.86
1.814,7.90,4.13,-7.81
1.815,7.94,3.98,-7.73
1.819,7.99,3.80,-7.63
1.821,8.03,3.59,-7.51
1.823,8.08,3.37,-7.36
1.827,8.13,3.15,-7.18
1.828,8.19,2.91,-6.98
1.831,8.26,2.67,-6.76
1.833,8.34,2.42,-6.50
1.835,8.42,2.14,-6.22
1.838,8.50,1.85,-5.91
1.840,8.57,1.53,-5.58
1.843,8.63,1.18,-5.22
1.846,8.66,0.83,-4.85
1.849,8.66,0.49,-4.48
1.851,8.61,0.20,-4.12
1.853,8.51,-0.04,-3.78
1.855,8.37,-0.23,-3.45
1.858,8.16,-0.38,-3.14
1.863,7.91,-0.53,-2.83
1.864,7.61,-0.67,-2.52
1.867,7.26,-0.82,-2.23
1.868,6.86,-0.94,-1.93
1.871,6.42,-1.01,-1.66
1.873,5.96,-1.03,-1.41
1.876,5.48,-0.99,-1.18
1.878,4.99,-0.92,-0.95
1.880,4.50,-0.83,-0.74
1.885,4.02,-0.73,-0.53
1.886,3.56,-0.63,-0.33
1.888,3.11,-0.54,-0.13
1.890,2.68,-0.44,0.05
1.894,2.28,-0.34,0.21
1.895,1.91,-0.22,0.35
1.902,1.56,-0.10,0.47
1.903,1.24,0.05,0.57
1.904,0.96,0.20,0.63
1.905,0.71,0.35,0.68
1.908,0.49,0.48,0.71
1.910,0.30,0.58,0.73
1.914,0.15,0.63,0.74
1.915,0.03,0.63,0.77
1.918,-0.08,0.57,0.83
1.921,-0.16,0.45,0.92
1.923,-0.24,0.28,1.06
1.925,-0.30,0.06,1.23
1.932,-0.37,-0.20,1.45
