time,ax,ay,az,aT
3.8170,-4.4590,-2.0690,9.0060,10.260
3.8270,-0.0090,-3.4050,6.6220,7.446
3.8400,4.0470,-4.9560,3.5230,7.304
3.8490,6.8080,-6.8980,0.5050,9.705
3.8600,7.8600,-8.9360,-1.5370,12.000
3.8690,7.9370,-10.5770,-2.6400,13.485
3.8770,7.7760,-11.8710,-3.1270,14.532
3.8900,7.8640,-12.7810,-3.0730,15.318
3.8970,8.3380,-13.6420,-2.7420,16.222
3.9060,8.5720,-14.5640,-2.5210,17.086
3.9170,8.2650,-15.6240,-2.7490,17.888
3.9260,7.7840,-16.0230,-3.1330,18.087
3.9370,7.5240,-16.1330,-2.8350,18.026
3.9460,7.1600,-15.8500,-2.0940,17.518
3.9570,5.2680,-15.1490,-0.2570,16.041
3.9670,1.5710,-13.9590,2.3950,14.250
3.9780,-2.0470,-12.6030,3.7800,13.316
3.9870,-5.2570,-10.7000,3.0890,12.315
3.9970,-5.2680,-8.9300,0.0380,10.368
4.0060,-1.6330,-9.0790,-3.9770,10.045
4.0180,1.9970,-8.8870,-7.5900,11.856
4.0290,3.8070,-7.6740,-9.3450,12.677
4.0390,4.3410,-7.3270,-9.3190,12.624
4.0490,5.2240,-7.8320,-8.0270,12.372
4.0590,6.2440,-9.0780,-6.3330,12.708
4.0690,6.6380,-10.9350,-4.6730,13.619
4.0790,7.9050,-12.4150,-2.8930,15.000
4.0890,9.4930,-12.7300,-0.6230,15.892
4.0970,11.0010,-12.0170,1.0560,16.326
4.2480,12.3740,-10.5870,1.3970,16.345
4.2530,12.8930,-8.9110,1.3190,15.728
4.2550,11.7980,-7.8150,-0.9860,14.186
4.2560,8.3370,-6.7670,-1.8550,10.897
4.2570,3.4130,-5.9530,-1.2850,6.981
4.2580,-0.7580,-5.2870,-0.6760,5.384
4.2600,2.7590,3.3050,1.8480,4.685
4.2610,2.9860,5.4050,2.3590,6.610
4.2640,2.6190,7.3490,2.7000,8.256
4.2660,2.2860,9.2980,2.7410,9.960
4.2670,2.6060,11.6700,2.4440,12.205
4.2680,3.9860,14.3060,2.3440,15.035
4.2770,4.4660,17.9250,3.9540,18.891
4.2860,4.8810,22.0800,6.0200,23.401
4.2960,7.6910,25.6810,6.9500,27.694
4.3060,12.7110,27.0690,7.0440,30.723
4.3160,16.1460,26.7340,6.7340,31.949
4.3280,15.6170,27.1220,6.6190,31.989
4.3360,12.6430,27.8000,7.5780,31.466
4.3470,11.4170,28.7370,7.7770,31.885
4.3570,15.6290,28.3830,5.3190,32.835
4.3670,20.7580,25.8030,1.6880,33.159
4.3800,21.6430,22.6610,-0.9040,31.349
4.3880,18.1700,19.3530,-2.0050,26.622
4.3970,13.0510,15.9200,-2.3850,20.723
4.4080,9.1710,11.8860,-2.5920,15.235
4.4170,6.6680,7.5940,-2.6850,10.457
4.4290,5.1140,3.1270,-2.9520,6.682
4.4390,3.8240,-1.5320,-2.4380,4.787
4.4460,2.4910,-5.6550,-1.1960,6.294
4.4560,1.4830,-8.6950,0.4580,8.832
4.4670,1.4910,-11.1390,1.7610,11.375
4.4790,2.2690,-13.0780,2.4840,13.504
4.4890,3.3450,-14.5020,2.5390,15.098
4.4990,4.3430,-15.5810,1.8970,16.286
4.5080,5.2580,-16.3640,0.7050,17.202
4.5190,6.0440,-16.9660,-0.5040,18.017
4.5280,6.4070,-17.4950,-1.3810,18.682
4.5400,6.0690,-17.8300,-1.8700,18.927
4.5470,5.3780,-17.7880,-2.1690,18.709
6.2560,4.8850,-17.4580,-2.2370,18.266
6.2720,4.8150,-17.0570,-2.2370,17.864
6.2730,4.6870,-16.7230,-2.0990,17.494
6.2740,3.6180,-16.2330,-1.8240,16.731
6.2750,6.9960,1.2060,11.8460,13.810
6.2750,10.1160,2.5980,15.7810,18.924
6.2760,13.1330,5.1250,19.8330,24.333
6.2810,16.1100,9.3450,23.1210,29.689
6.2820,19.1630,14.3400,25.4980,34.971
6.2890,22.7130,19.0000,27.6900,40.542
6.2940,25.6840,21.7960,29.6960,44.906
6.3060,26.5530,21.7660,30.5390,45.951
6.3150,23.6610,21.0970,30.8020,44.201
6.3270,20.6440,21.2250,29.7210,41.953
6.3370,21.8560,22.2130,26.4600,40.881
6.3470,26.8310,22.1850,22.0610,41.216
6.3550,29.4770,19.8800,17.8080,39.765
6.3670,25.7720,16.2350,14.0850,33.558
6.3750,17.3540,12.3220,11.1400,24.023
6.3870,9.2100,9.1410,8.4160,15.466
6.3980,4.4160,6.5000,5.9260,9.842
6.4070,2.0230,4.2700,3.5790,5.927
6.4180,1.0960,2.4070,1.3300,2.960
6.4270,0.9320,0.6220,-0.8480,1.405
6.4350,1.2760,-1.2620,-2.4550,3.041
6.4470,1.6240,-3.6040,-2.7750,4.830
6.4550,1.3760,-5.9040,-1.9500,6.368
6.4660,0.9800,-7.9610,-1.1010,8.096
6.4750,1.4710,-9.4390,-0.8800,9.593
6.4880,2.1440,-10.8700,-1.3610,11.163
6.4970,2.7600,-12.5870,-1.8150,13.013
6.5050,3.6810,-13.6320,-1.8600,14.242
6.5180,4.7380,-14.7110,-1.8000,15.560
6.5270,5.7390,-15.9280,-1.7240,17.018
6.5370,6.5010,-16.6800,-1.5380,17.968
6.5470,7.0610,-17.5250,-1.1590,18.930
6.5590,7.2020,-18.0780,-0.7320,19.474
6.5670,7.8930,-18.2520,-0.8520,19.904
6.5790,8.7060,-18.4210,-1.4590,20.427
6.5870,7.4530,-18.2850,-1.7300,19.821
6.5950,1.7860,-18.0730,-0.1390,18.162
6.6090,-6.9040,-17.5860,0.3050,18.895
6.6170,-14.3890,-18.2260,0.3120,23.223
6.6280,-19.5100,-15.5190,-1.8160,24.996
6.6350,-14.9310,-13.1990,-5.5760,20.694
6.6470,-2.1290,-13.9760,-9.6720,17.129
6.6590,9.2540,-12.6830,-11.3180,19.354
6.6670,15.2650,-12.4120,-12.0400,23.066
6.6790,13.0330,-13.8450,-12.5140,22.763
6.6890,5.6290,-15.9580,-10.6060,19.971
6.6990,-0.9660,-18.8940,-6.2740,19.932
6.7080,-0.8260,-21.9490,-1.5360,22.018
6.7150,6.1930,-23.4170,2.4850,24.349
6.7270,17.5220,-21.7040,5.6190,28.454
6.7390,30.5050,-16.7790,7.7570,35.669
6.7470,39.8890,-10.2320,7.6080,41.877
6.7580,39.9650,-4.2880,5.3070,40.543
6.7660,30.1770,-0.9330,2.1280,30.266
6.7790,16.7670,0.5640,0.1750,16.777
6.7860,5.8400,0.9800,-0.5240,5.945
6.7960,2.0200,1.0370,-1.4040,2.670
6.8060,4.5460,1.4080,-3.2350,5.754
6.8190,7.5160,2.1330,-4.3740,8.954
6.8280,7.4600,3.4140,-3.2440,8.822
6.8390,5.5210,4.3170,-0.5380,7.029
6.8450,3.5350,5.2660,3.0990,7.059
6.8560,2.3800,6.0330,6.6970,9.323
6.8680,1.1850,6.6990,9.7820,11.915
6.8760,0.1340,7.6270,11.8700,14.110
6.8880,-0.2860,8.8760,12.4970,15.331
6.8960,0.9260,10.7240,11.8420,16.003
6.9080,3.7320,12.8280,9.8050,16.572
6.9160,6.1120,15.5990,7.3470,18.294
6.9260,6.6380,19.0310,5.5980,20.918
6.9360,6.6800,23.2050,4.8140,24.623
6.9460,8.5730,27.9360,4.9240,29.634
6.9550,14.0700,32.2140,5.7760,35.624
6.9660,22.2590,34.1970,6.6220,41.337
6.9740,28.0510,33.5580,7.3600,44.353
6.9860,26.5120,32.1130,9.0040,42.605
6.9940,21.7310,31.1080,10.7810,39.448
7.0050,22.2970,29.7120,10.6290,38.639
7.0140,28.2000,28.0070,8.5700,40.658
